case_id,year,month,day,country_id,iso3,country_name,region,city,location,location_latitude,location_longitude,location_accuracy,incident_type,perpetrator_type,organizational_affiliation,organizational_affiliation_2,loneactor_id,target_group,grouped_target_group,target_group_2,grouped_target_group_2,weapon_type,grouped_weapon_type,weapon_type_2,grouped_weapon_type_2,weapon_description,fatal,n_killed,n_wounded,description,plot_type,plot_targeting,plot_operational_planning,version
2013-5-26,2013,5,26,19,GBR,United Kingdom,England,Grimsby,Grimsby Islamic Cultural Centre,53.55411411062443,-0.07994727485949045,1,1,5,,,,101,Ethnic/religious minorities,,,201,Arson/firebomb,,,Three petrol bombs,0,0,0,"Two former soldiers, aged 33 and 37, petrol bombed a mosque. A number of worshippers were inside the mosque at the time of the attack for a meeting, but no one was injured. They managed to extinguish the fire and the perpetrators were soon arrested.  The attack occurred four days after a brutal Islamist murder of a soldier. A third man was sentenced for aiding and abetting arson by driving the two other men to the mosque. All three men were sentenced to six years imprisonment. ",,,,2016
2013-5-26-1,2013,5,26,19,GBR,United Kingdom,England,Bedford,Foster Hill Road,52.14349042797785,-0.4689724239136746,1,2,6,,,592,102,Ethnic/religious minorities,,,600,Beating/kicking,,,Beating/kicking,0,0,1,"A 16-year-old was knocked unconscious and left with injuries to his face. The victim, who is a black male, stopped his bicycle to change the music on his MP3 player when the offender referred to him with a racial slur. The victim challenged the offender who then used the term twice more before punching the teenager to the ground and then kicking him until he was unconscious. Police and paramedics arrived at the scene and the victim was taken to the hospital for treatment. One man was arrrested at the scene and the police treated the incident as a racially motivated assault.",,,,2023
2013-6-0,2013,6,0,6,DEU,Germany,Bavaria,Munich,"Schwabing, Düsseldorfer Strasse",48.168646503636175,11.57576494133562,1,4,6,,,27,900,Unknown,,,100,Explosives,,,Nail bomb,0,0,0,"A 33-year-old previously convicted right-wing extremist was arrested for possession of a fully functional nailbomb. The police were unable to uncover any specific attack plans. The perpetratror was unemployed, alcoholic and had a criminal record. He had previously been a member of groups such as Kameradschaft Süd.",,,,2016
2013-6-1,2013,6,1,19,GBR,United Kingdom,England,Grange Moor,Bedford Avenue,53.64084051208252,-1.6675330415864265,1,2,4,,,,101,Ethnic/religious minorities,,,402,Knives/bladed weapons and sharp objects,,,Broken bottle,0,0,1,"A taxi driver was racially abused and attacked. The driver picked up a group of four men and drove them to a store, before they returned to the taxi and drove back to the same address. During the journey back, the one of the men became aggressive, telling the taxi driver that Muslims should go back to their own country. The perpetrator then called the driver a “black Muslim bastard"" and also made a remark about Muslims killing one person and threatening to retaliate for the act (a probable reference to the murder of Lee Rigby). When the driver arrived at the address, the perpetrator threatened to kill him and struck him thrice down the side of his face with a bottle. The driver was left covered in blood and the four men ran away. The perpetrator admitted racially aggravated assault and was sentenced to 12 months imprisonment.",,,,2023
2013-6-4,2013,6,4,6,DEU,Germany,Sachsen-Anhalt,Oranienbaum-Wörlitz,Vockerode,51.854977194972015,12.331952897743536,1,2,99,,,,102,Ethnic/religious minorities,,,900,Unknown,,,Unknown,0,0,1,"A 23-year-old refugee from Mali was found outside an asylum seekers' accommodation with serious facial injuries. He was taken to the hospital where he received intensive care and had to stay for at least one day. The witness who found the victim had a short time earlier observed a car with several people in it, who shouted racist slogans. The witness saw that two people were running from the grounds of the asylum seekers' accommodation and into the car, before it drove away. There had been multiple right-wing extremist attacks on asylum seekers in the small town district of Vockerode in the weeks leading up to the attack (cases do not meet the inclusion criteria). The state security investigated the incident. Motive not explicitly stated, but sufficiently evident to be included.",,,,2023
2013-6-5,2013,6,5,5,FRA,France,Île-de-France,Paris,Gare Saint-Lazare district,48.87618344413521,2.325693842983745,1,2,4,Jeunesses nationalistes révolutionnaires,Troisième Voie,,200,Political opponents,,,501,Blunt instruments,,,Punch with brass knuckles,1,1,0,"Three skinheads, including one woman, recognized and attacked a 19-year-old left-wing activist and student. After a heated quarrel, one of the skinheads punched the victim with a brassknuckle, causing him to fall and hit his head on the concrete. The victim was pronounced brain dead at the hospital and died the following day. Seven people, including a woman, were taken into custody. Several are close to the small group of jeunesses nationalistes révolutionnaires (JNR) [Revolutionary Nationalist Youth]and the affiliated movement of the Troisième Voie [Third Way]. 15,000 people gathered in tribute to the victim and to demonstrate. ",,,,2016
2013-6-6,2013,6,6,19,GBR,United Kingdom,England,Birkenhead,m,53.387903612458366,-3.0210430655251628,2,3,6,,,73,101,Ethnic/religious minorities,,,100,Explosives,,,Homemade explosive device,0,0,0,"A 42-year-old man was arrested for plotting to blow up mosques with home-made gunpowder. The police found more than a kilogram of gunpowder and a home-made explosive device in a briefcase hidden in his bedroom cupboard at his parents' home. Under his bed they found containers of sulphur, potassium nitrate and charcoal – the three components of gunpowder. The perpetrator had an obsession with Hitler and extreme right-wing ideology and was nicknamed ‘Adolf’ by colleagues. In a text message to a friend he said he was making an explosive with ball bearings and nails, and added: ‘It might be destined for the Muslim centre in Birkenhead.’ In another, he said Norwegian mass murderer Anders Behring Breivik was his ‘hero’ and added: ‘Time to start blowing them up.’ The perpetrator, a receptionist at a recycling factory, had made a file of mosques near his home which he referred to as his ‘dreck ziel’ – a German phrase meaning ‘dirt target’. A former friend told: ‘He was a very friendly, well-liked person. But he was a bit vulnerable and could be easily influenced by others.’ He was married but lived apart from his wife at the time of the offences. Police was alerted by the perpetrator's colleagues. He was jailed for ten years for terror offences.",3,6,3,2016
2013-6-8,2013,6,8,5,FRA,France,Grand Est,Metz,m,49.11858701860392,6.175284574408333,2,2,2,Hammerskins (France),,,102,Ethnic/religious minorities,,,400,Knives/bladed weapons and sharp objects,600,Beating/kicking,"Knife, beating/kicking",0,0,1,"Four skinheads attacked a Senegalese man, hurling insults at him. When the victim responded, the situation escalated into a physical altercation. A fellow Senegalese man attempted to intervene, but the victim was stabbed with a knife, sustaining a punctured lung. The attackers are believed to be members of, or associated with, the far-right group ""Hammerskins.""",,,,2023
2013-6-8-1,2013,6,8,19,GBR,United Kingdom,England,Liverpool,Priory Road,53.433815748374265,-2.9560470367153115,1,1,5,,,,102,Ethnic/religious minorities,,,200,Arson/firebomb,,,Arson,0,0,1,"A 48-year-old Sri Lankan shopkeeper suffered a racist attack in his store. Two men, in hooded tracksuits, entered the shop and shouted racist abuse at him. They began to pour fuel over the shop floor before igniting it with a flicked cigarette. The shopkeeper had run from behind the counter to confront them, when he slipped on the fuel and fell forwards. When on the floor, the victim's clothes caught on fire. He managed to put out the flames quickly, but suffered serious burns to his arms and damage to his throat from smoke inhalation. The police treated the attack as a racist hate crime.",,,,2023
2013-6-13,2013,6,13,5,FRA,France,Île-de-France,Paris,Argenteuil,48.94714040966775,2.2457377301144454,1,2,8,,,,101,Ethnic/religious minorities,,,600,Beating/kicking,,,Beating/kicking,0,0,1,"A 21-year-old Muslim woman, who was four months pregnant, was physically attacked by two men. The attackers first tried taking her headscarf off and later cut off her hair and tore part of her clothing. After she screamed out that she was pregnant, one of the attackers started kicking her in the stomach. She described the perpetrators as ""skinheads"", but the police found inconsistencies in her reporting. The woman suffered a miscarriage as a result of the attack. The attack came three week after another young Muslim woman was attacked by two men described as ""skinheads"" in the same city (CaseID 2013-5-20)",,,,2016
