"","fips","usps","cendiv","cenreg","year","shoot","adjshoot","prisoners","inc","unemp","divorced","highschool","veteran","legis_control","biennium","pop_all","urban_pct","black_pct","hisp_pct","elder_pct","under25_pct","gun_murder_rate","police_emp","hunters","laws","bills","laws_tighten","laws_loosen","demleg","repgov","repleg","splleg","had_reg_session","fatal","adjfatal","pc_fatal","news","fatalXdemleg","shootXdemleg","fatalXrepleg","shootXrepleg","fatalXsplleg","shootXsplleg","handgun_wait","longgun_wait","transaction_age","possess_age","buysell_atleast18","buysell_atleast21","possess_atleast18","possess_atleast21","handgun_permit","bgcheck_none","bgcheck_handgun","bgcheck_all","assault_ban_any","magban","ccw_none","ccw_shall","ccw_may","ccw_ban","pct_0to14","pct_15to17","pct_18to24","pct_25to34","all_gun_acc","all_gun_hom","all_gun_sui","all_gun_unk","all_sui","cook"
"1",1,"AL",6,3,1989,0,0,3.28964182157527,13.7032,7.03846168518066,10.95432472229,63.2395095825195,14.2106533050537,1,1,4030226,45.5173153765399,25.2731296410204,0.625324268174339,12.7687195550421,37.707953701829,8.47587844301583,2.67503608978752,69.6293458480988,0,2,NA,NA,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,18,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,21.9035396575928,4.60305213928223,11.200403213501,16.2066078186035,45,342,397,13,506,78.4584980237154
"2",1,"AL",6,3,1990,0,1,3.65220965353162,13.7419,6.76923084259033,11.1957578659058,65.8820724487305,13.1772041320801,1,0,4048508,45.5370964664293,25.2801031886315,0.61244784498388,12.8897855703879,36.9730033879148,9.42219676662851,2.778554469943,65.4823949958849,4,9,1,0,1,1,0,0,1,0,11,0,0,0,0,0,0,0,0,2,0,18,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,21.4608688354492,4.46571731567383,11.0655288696289,16.0855102539062,77,381,433,20,514,84.2412451361868
"3",1,"AL",6,3,1991,0,0,3.96282105340349,13.7568,7.33846139907837,10.03892993927,67.3009414672852,12.8101453781128,1,1,4091025,45.3484966666528,25.3420597527514,0.618964684889484,12.9337757652422,36.7526964513783,10.3130309656678,2.8890070336896,66.4601169633527,8,18,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,18,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,21.4785194396973,4.3998327255249,10.9623546600342,15.7741498947144,64,424,424,16,539,78.6641929499072
"4",1,"AL",6,3,1992,1,0,4.13261375378116,14.1903,7.56923055648804,10.7995824813843,73.1217269897461,13.2959079742432,1,0,4139269,45.1598968668764,25.4649069678728,0.639315782569338,12.9782577551737,36.5455832901896,9.31251276861005,2.89954578936522,66.3283782716224,6,15,3,0,1,1,0,0,1,4,0,0.0966354204087727,0.0638888888888889,0,0,0,0,0,0,2,0,18,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,21.4142265319824,4.41315317153931,10.8825340270996,15.4066886901855,72,387,396,16,523,75.717017208413
"5",1,"AL",6,3,1993,0,0,4.30181483260412,14.206,7.33076906204224,10.4198637008667,76.0245361328125,13.8479204177856,1,1,4193114,44.9712970671,25.5663690517358,0.674653729900976,13.0035100405093,36.3367177710885,9.77181391430404,2.96414550141017,66.0361249419882,6,21,1,0,1,0,0,0,1,0,0,0,0,4,1,0,0,0,0,2,0,18,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,21.3547668457031,4.40588760375977,10.8128652572632,15.0876722335815,85,412,429,16,551,77.8584392014519
"6",1,"AL",6,3,1994,0,0,4.51173113881168,14.5064,6.2153844833374,11.6549129486084,72.4810638427734,12.616771697998,1,0,4232965,44.7826972673236,25.6880933341051,0.724622102946752,13.01806180774,36.0644371025983,10.134999602342,2.99600870784427,65.2580401680619,9,26,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,18,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,21.295051574707,4.45896196365356,10.6222457885742,14.8201894760132,78,432,399,33,532,75
"7",1,"AL",6,3,1995,0,1,4.72584359651125,14.7917,5.9769229888916,12.0535736083984,74.4085540771484,13.5703144073486,1,1,4262731,44.5940974675471,25.7840102976238,0.775136878212582,13.0616029958259,35.8421866169833,9.3045305387486,3.14774730096738,64.2949320517762,12,21,2,2,1,1,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,18,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,21.3066463470459,4.53940153121948,10.3747444152832,14.5889730453491,80,400,430,20,563,76.3765541740675
"8",1,"AL",6,3,1996,0,1,4.95035081786023,14.869,5.23076915740967,13.2544193267822,75.7076721191406,11.0405302047729,1,0,4290403,44.4054976677707,25.8170153246676,0.836494846754489,13.0866261281283,35.3518538934454,8.81358325456097,3.25284128320813,62.7206814837674,7,23,1,1,1,1,0,0,1,0,11,0,0,0,0,0,0,0,0,2,0,18,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,21.1209526062012,4.55593061447144,10.1312322616577,14.4819955825806,62,382,400,24,513,77.9727095516569
"9",1,"AL",6,3,1997,0,1,5.09804802048756,15.1801,4.99230766296387,13.873046875,77.5776443481445,11.5810890197754,1,1,4320281,44.2168978679942,25.936461077416,0.910588917711603,13.0786863169317,35.142621510036,8.48875068928198,2.999110474527,61.6594152093348,12,22,4,1,1,1,0,0,1,0,8,0,0,0,0,0,0,0,0,2,0,18,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,21.1455078125,4.56213283538818,9.95790958404541,14.2373456954956,62,371,391,21,512,76.3671875
"10",1,"AL",6,3,1998,0,1,5.1672739165399,15.8422,4.40769243240356,11.2646913528442,78.7614288330078,11.5766334533691,1,0,4351037,44.0282980682178,25.9866096289229,0.978134637788647,13.0287791163348,34.7774105345461,7.39497658786707,3.37942426138872,62.8599572929396,2,13,0,0,1,1,0,0,1,0,8,0,0,0,0,0,0,0,0,2,0,18,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,20.9346790313721,4.45301485061646,9.98383331298828,14.0135049819946,42,327,437,12,569,76.8014059753954
